"sample","mg_kg_POXC"
"428",384.506503937008
"422",435.040719367589
"431",420.751669354839
"429",480.418285714286
"438",500.251176
"441",433.3752
"435",524.193307086614
"444",465.699831325301
"423",461.12978313253
"424",498.002031496063
"437",409.668545454546
"456",390.613410358566
"434",499.31748
"440",529.048285714286
"425",387.9055
"442",394.507685258964
"430",428.553542168675
"443",437.344709163347
"433",580.341357142857
"445",410.996550607287
"436",502.638314516129
"432",432.281685483871
"421",540.511071428572
"427",478.776168
"426",612.525570850202
"439",380.029233201581
"201",437.799948
"202",590.744641434263
"203",496.903843373494
"204",475.272633466136
"205",483.726542168675
"206",366.785658823529
"207",442.502356275303
"208",521.693237903226
"209",573.177684
"210",419.922623529412
"211",463.748830645161
"212",643.297032
"213",640.50198
"214",500.695707509882
"215",383.964816
"216",348.962552419355
"217",416.89782
"218",366.97064516129
"219",425.283179282869
"220",357.10594488189
"221",422.110457831325
"222",319.929096774194
"223",318.056917647059
"224",381.279154761905
"225",268.985337349398
"226",331.970309523809
"625",404.762173809524
"624",429.725664566929
"637",343.582027888446
"612",383.4155784
"623",321.383319367589
"635",435.915585882353
"613",343.321497580645
"636",483.847185714286
"626",409.890196015936
"616",598.268428685259
"617",403.434028571429
"614",380.187457959184
"622",386.122190551181
"621",425.035419277108
"618",480.4155792
"615",488.9350272
"628",344.594124901186
"629",330.282799209486
"630",416.860758536585
"627",310.826083333333
"619",442.875915662651
"620",519.992078225806
"634",477.823737349398
"631",357.372647244094
"632",424.411909311741
"633",451.105510756972
"639",373.713446428572
"638",444.758765853658
"652",575.340673517787
"653",504.3540312
"651",597.156317647059
"650",408.4791696
"707",455.270385882353
"649",473.4893736
"641",458.129548235294
"640",536.076633201581
"645",457.805509960159
"642",502.353469879518
"644",636.1971552
"706",421.18884291498
"654",495.656054117647
"643",503.056415810277
"648",576.898128
"701",576.279590283401
"702",442.097191093117
"655",593.564509756098
"656",431.252452173913
"705",444.220392094862
"646",458.066595180723
"647",550.877794422311
"704",418.049804819277
"703",527.37373902439
"711",360.094068825911
"723",378.57624
"724",447.039489795919
"709",475.817842741936
"722",623.489107142857
"708",357.608502024292
"710",439.03422
"721",442.81058467742
"714",461.7479296875
"725",372.61012195122
"712",483.553408163265
"719",591.8748
"715",520.117226720648
"713",459.568775510204
"727",316.985654761905
"720",617.381506024097
"729",414.82764
"726",501.2463
"731",501.2463
"728",388.667530120482
"733",456.013487903226
"730",409.38993
"732",430.817590361446
"717",533.073918367347
"718",578.179346938775
"716",366.186592741936
"738",420.185385365854
"750",362.416112195122
"736",505.146162753036
"735",339.294460408163
"752",470.7801072
"734",424.302227419355
"739",455.684866396761
"737",363.745113253012
"743",440.47169632653
"740",516.871971428571
"741",449.89962687747
"742",403.010736585366
"747",472.074909677419
"748",650.659263157895
"749",420.761115537849
"751",472.249792682927
"753",389.780714285714
"754",381.1990608
"755",406.635920318725
"756",446.091975903614
"744",453.890623481781
"745",410.221581176471
"746",370.039671255061
"227",372.222457831325
"232",386.464383870968
"231",429.957848780488
"236",677.593995238095
"233",407.299146987952
"234",411.130048192771
"235",405.7164
"240",535.155474698795
"237",378.826747826087
"238",455.338059677419
"239",372.6413568
"244",545.736506772908
"245",445.026540239044
"247",409.578531225297
"248",559.429862903226
"249",486.670631325301
"250",441.131333333334
"251",596.796737007874
"252",605.541307317073
"253",483.558024096386
"230",327.687372580645
"229",343.730130120482
"243",530.1531696
"242",521.039018181819
"228",327.810141176471
"241",507.1404672
"256",472.764682352941
"304",476.742897637795
"308",298.966328744939
"312",402.367024390244
"309",417.035565354331
"254",458.748907086614
"255",532.47067826087
"316",626.3522496
"317",475.819544223108
"310",321.795867206478
"303",500.429942857143
"307",451.87003373494
"321",641.520114285714
"322",344.956279518072
"311",313.997771428572
"324",461.094285714286
"301",509.459244094488
"313",395.6917248
"323",303.48950513834
"302",500.00475483871
"320",547.274787096774
"315",552.659980645161
"318",482.293451612903
"314",439.887278048781
"305",429.537883464567
"306",284.118329032258
"319",421.428850996016
"325",356.087611336032
"338",590.549008064516
"336",660.060648
"337",605.454336
"329",423.729967741935
"339",592.63228458498
"327",313.903897233202
"349",565.960409638554
"350",455.473060240964
"330",392.715274900399
"344",620.786024096386
"326",491.364024
"341",613.095362903226
"328",502.571357142857
"343",508.461249011858
"335",668.983248
"331",465.115123505976
"332",455.831397590361
"342",395.085155378486
"340",731.01571314741
"348",684.211152
"333",348.535475806452
"334",525.269904
"345",535.022612903226
"346",465.625951807229
"347",506.599814516129
"352",589.415062948207
"351",520.643018623482
"408",402.101445059288
"401",450.938366929134
"353",512.666263967611
"402",513.583807228916
"355",613.39724516129
"409",390.438707569721
"414",367.246603984064
"356",421.703295238095
"407",485.409855421687
"413",386.283185714286
"412",383.623961445783
"411",410.094028571428
"354",390.518795294118
"403",538.400862650602
"415",520.057821686747
"420",586.753394331984
"410",373.607761904762
"404",525.213055421687
"406",373.906900398406
"419",502.117606374502
"417",606.820472727273
"418",512.080546341463
"416",673.995498795181
"405",426.8680656
"446",392.175864
"456",449.611508366534
"513",398.424711904762
"501",522.586771314741
"452",553.702365354331
"455",541.453546613546
"451",545.494341732283
"512",431.872044
"450",513.3594264
"511",338.813483003953
"453",533.986457142857
"507",578.119166533864
"454",440.617861904762
"515",532.360958536585
"508",345.743573877551
"514",426.948925714285
"502",584.026218972332
"449",602.5904928
"509",273.596077470356
"447",530.133392771084
"448",623.462736758893
"506",472.174083333333
"510",377.3088552
"516",674.351586454183
"503",600.50412145749
"505",480.121152
"504",481.37052145749
"527",404.789173493976
"540",490.80246097561
"541",441.266729411765
"526",528.847489243028
"525",349.661696326531
"539",421.431248780488
"521",412.21525511811
"523",410.24212
"524",485.996995121951
"538",554.690674900399
"542",472.0375176
"522",418.681764705882
"528",423.43285984252
"529",447.989817391304
"520",660.034916129032
"534",451.359536326531
"536",570.1482812749
"537",412.886101185771
"519",476.919592828685
"535",533.239401619433
"518",507.652136326531
"531",516.06509632653
"517",331.920163967611
"532",539.403249011858
"530",556.134737007874
"533",426.320084462151
"611",337.16480952381
"609",375.303566929134
"553",524.262786290323
"610",333.676624505929
"543",497.016972332016
"607",389.039694117647
"552",468.612485829959
"551",484.924164
"608",303.021804878049
"605",399.222800796813
"554",442.43525498008
"545",453.057310756972
"549",497.356111553785
"550",488.940120481928
"544",556.834602409639
"546",415.291318548387
"555",565.145842105263
"556",426.908113360324
"547",486.605964285714
"603",519.09918
"604",403.001076
"601",414.590476190476
"602",450.673427710844
"548",601.645386454183
"606",306.400517928287
"246",NA
